image,predicted_color,aquarius,name,price,mrp,material
1.jpg,white,56%,White Shirt,2017,2466,Polyester
10.jpg,black,51%,Black Shirt,2537,3067,Linen
100.jpg,black,44%,Black Shirt,2455,2764,Linen
1000.jpg,green,77%,Green Shirt,1779,2257,Wool
1001.jpg,white,51%,White Shirt,2773,3474,Wool
1002.jpg,white,42%,White Shirt,2525,2993,Linen
1003.jpg,gray,43%,Gray Shirt,2498,2927,Silk
1004.jpg,blue,46%,Blue Shirt,2747,3365,Silk
1005.jpg,white,91%,White Shirt,2331,2731,Silk
1006.jpg,gray,70%,Gray Shirt,1534,2317,Polyester
1007.jpg,blue,78%,Blue Shirt,2638,3251,Wool
1008.jpg,black,77%,Black Shirt,2774,3329,Linen
1009.jpg,black,80%,Black Shirt,2320,2897,Silk
101.jpg,unknown,44%,Stylish Shirt,1741,2065,Wool
1010.jpg,white,55%,White Shirt,1568,2169,Denim
1011.jpg,unknown,77%,Stylish Shirt,1551,2245,Cotton
1012.jpg,black,82%,Black Shirt,2645,3313,Linen
1013.jpg,blue,77%,Blue Shirt,1811,2178,Polyester
1014.jpg,white,93%,White Shirt,2769,3419,Denim
1015.jpg,gray,79%,Gray Shirt,2317,2784,Cotton
1016.jpg,white,79%,White Shirt,2956,3603,Denim
1017.jpg,gray,40%,Gray Shirt,2811,3350,Wool
1018.jpg,unknown,84%,Stylish Shirt,2944,3312,Linen
1019.jpg,gray,47%,Gray Shirt,1620,2095,Linen
102.jpg,white,93%,White Shirt,2769,3402,Linen
1020.jpg,black,76%,Black Shirt,2363,2684,Cotton
1021.jpg,unknown,44%,Stylish Shirt,2006,2404,Cotton
1022.jpg,black,78%,Black Shirt,2019,2701,Denim
1023.jpg,unknown,44%,Stylish Shirt,1806,2162,Silk
1024.jpg,black,76%,Black Shirt,2078,2556,Polyester
1025.jpg,white,90%,White Shirt,1891,2636,Silk
1026.jpg,unknown,79%,Stylish Shirt,2834,3461,Wool
1027.jpg,white,61%,White Shirt,2315,3097,Denim
1028.jpg,white,75%,White Shirt,1761,2372,Linen
1029.jpg,black,77%,Black Shirt,2380,2698,Denim
103.jpg,pink,84%,Pink Shirt,1931,2562,Wool
1030.jpg,black,67%,Black Shirt,2765,3180,Wool
1031.jpg,unknown,51%,Stylish Shirt,2714,3440,Denim
1032.jpg,black,77%,Black Shirt,1866,2314,Polyester
1033.jpg,unknown,78%,Stylish Shirt,1841,2161,Linen
1034.jpg,white,63%,White Shirt,2291,2690,Silk
1035.jpg,white,79%,White Shirt,1607,2004,Polyester
1036.jpg,white,47%,White Shirt,2942,3461,Denim
1037.jpg,white,46%,White Shirt,2652,3227,Linen
1038.jpg,black,76%,Black Shirt,2143,2448,Silk
1039.jpg,white,61%,White Shirt,2894,3681,Denim
104.jpg,unknown,63%,Stylish Shirt,2954,3678,Silk
1040.jpg,gray,52%,Gray Shirt,1639,2388,Cotton
1041.jpg,black,74%,Black Shirt,2549,3139,Silk
1042.jpg,white,54%,White Shirt,1862,2430,Polyester
1043.jpg,black,80%,Black Shirt,2061,2542,Polyester
1044.jpg,gray,81%,Gray Shirt,2552,3201,Cotton
1045.jpg,black,74%,Black Shirt,1532,1881,Denim
1046.jpg,black,79%,Black Shirt,1620,2056,Linen
1047.jpg,white,58%,White Shirt,2385,2833,Polyester
1048.jpg,blue,40%,Blue Shirt,1742,2397,Silk
1049.jpg,black,81%,Black Shirt,2281,2892,Cotton
105.jpg,white,46%,White Shirt,2843,3430,Cotton
1050.jpg,white,62%,White Shirt,1664,2031,Wool
1051.jpg,unknown,80%,Stylish Shirt,2698,3350,Polyester
1052.jpg,white,48%,White Shirt,1526,2186,Linen
1053.jpg,black,78%,Black Shirt,2222,2640,Wool
1054.jpg,gray,79%,Gray Shirt,2904,3582,Denim
1055.jpg,gray,77%,Gray Shirt,2341,3039,Polyester
1056.jpg,black,78%,Black Shirt,2092,2691,Linen
1057.jpg,gray,79%,Gray Shirt,2868,3606,Denim
1058.jpg,gray,80%,Gray Shirt,1965,2428,Silk
1059.jpg,white,53%,White Shirt,1778,2573,Denim
106.jpg,gray,60%,Gray Shirt,2668,3060,Linen
1060.jpg,gray,79%,Gray Shirt,1521,1954,Silk
1061.jpg,unknown,63%,Stylish Shirt,1829,2202,Silk
1062.jpg,blue,78%,Blue Shirt,2351,2892,Wool
1063.jpg,unknown,79%,Stylish Shirt,1875,2594,Cotton
1064.jpg,blue,76%,Blue Shirt,2382,2975,Denim
1065.jpg,white,40%,White Shirt,1855,2450,Polyester
1066.jpg,unknown,78%,Stylish Shirt,1905,2542,Silk
1067.jpg,white,44%,White Shirt,2458,3005,Linen
1068.jpg,black,62%,Black Shirt,2213,2563,Cotton
1069.jpg,white,63%,White Shirt,2915,3683,Wool
107.jpg,unknown,81%,Stylish Shirt,2413,3104,Cotton
1070.jpg,black,66%,Black Shirt,1787,2146,Polyester
1071.jpg,gray,76%,Gray Shirt,2519,3076,Cotton
1072.jpg,white,43%,White Shirt,2460,3176,Wool
1073.jpg,gray,80%,Gray Shirt,2333,2940,Linen
1074.jpg,gray,57%,Gray Shirt,3000,3341,Wool
1075.jpg,white,90%,White Shirt,2822,3249,Polyester
1076.jpg,gray,49%,Gray Shirt,2339,2994,Linen
1077.jpg,gray,84%,Gray Shirt,2618,3205,Linen
1078.jpg,gray,65%,Gray Shirt,1879,2480,Cotton
1079.jpg,black,70%,Black Shirt,2893,3341,Wool
108.jpg,white,94%,White Shirt,2574,3178,Cotton
1080.jpg,unknown,84%,Stylish Shirt,1929,2480,Cotton
1081.jpg,black,65%,Black Shirt,2892,3379,Cotton
1082.jpg,gray,51%,Gray Shirt,2545,2948,Cotton
1083.jpg,unknown,74%,Stylish Shirt,2239,2709,Polyester
1084.jpg,blue,78%,Blue Shirt,2039,2631,Linen
1085.jpg,white,47%,White Shirt,2097,2492,Cotton
1086.jpg,black,80%,Black Shirt,2089,2744,Polyester
1087.jpg,white,95%,White Shirt,2176,2596,Cotton
1088.jpg,white,94%,White Shirt,2762,3227,Silk
1089.jpg,white,58%,White Shirt,2220,2893,Cotton
109.jpg,unknown,60%,Stylish Shirt,2116,2815,Silk
1090.jpg,white,47%,White Shirt,2098,2458,Polyester
1091.jpg,pink,82%,Pink Shirt,2528,2878,Wool
1092.jpg,gray,79%,Gray Shirt,1955,2652,Polyester
1093.jpg,white,82%,White Shirt,2072,2585,Wool
1094.jpg,white,62%,White Shirt,1576,2140,Denim
1095.jpg,unknown,82%,Stylish Shirt,2408,2752,Cotton
1096.jpg,white,43%,White Shirt,2482,3164,Silk
1097.jpg,gray,48%,Gray Shirt,1608,1966,Polyester
1098.jpg,white,52%,White Shirt,2751,3384,Linen
1099.jpg,unknown,78%,Stylish Shirt,1509,1948,Denim
11.jpg,black,72%,Black Shirt,1823,2486,Cotton
110.jpg,unknown,44%,Stylish Shirt,2274,2768,Polyester
1100.jpg,white,84%,White Shirt,1698,2138,Cotton
1101.jpg,black,78%,Black Shirt,2312,2982,Polyester
1102.jpg,white,49%,White Shirt,2042,2668,Linen
1103.jpg,gray,49%,Gray Shirt,2201,2777,Polyester
1104.jpg,white,87%,White Shirt,1719,2083,Linen
1105.jpg,white,55%,White Shirt,2253,2633,Cotton
1106.jpg,yellow,56%,Yellow Shirt,1649,2224,Linen
1107.jpg,white,51%,White Shirt,1594,2229,Wool
1108.jpg,black,76%,Black Shirt,2590,3085,Denim
1109.jpg,white,64%,White Shirt,1806,2210,Polyester
111.jpg,unknown,85%,Stylish Shirt,2629,3377,Denim
1110.jpg,black,83%,Black Shirt,2477,2996,Denim
1111.jpg,white,49%,White Shirt,1628,1930,Silk
1112.jpg,black,77%,Black Shirt,1789,2299,Silk
1113.jpg,white,37%,White Shirt,1554,1955,Silk
1114.jpg,black,79%,Black Shirt,2964,3717,Silk
1115.jpg,gray,80%,Gray Shirt,1714,2100,Polyester
1116.jpg,gray,80%,Gray Shirt,2413,3211,Cotton
1117.jpg,white,60%,White Shirt,2700,3188,Linen
1118.jpg,white,64%,White Shirt,2005,2531,Wool
1119.jpg,white,46%,White Shirt,2656,3102,Polyester
112.jpg,gray,76%,Gray Shirt,2890,3401,Denim
1120.jpg,black,84%,Black Shirt,2681,3083,Linen
1121.jpg,black,83%,Black Shirt,2831,3335,Cotton
1122.jpg,gray,80%,Gray Shirt,2688,3406,Denim
1123.jpg,white,48%,White Shirt,2617,3312,Denim
1124.jpg,gray,58%,Gray Shirt,2822,3234,Cotton
1125.jpg,unknown,83%,Stylish Shirt,2803,3213,Linen
1126.jpg,black,69%,Black Shirt,2633,3179,Wool
1127.jpg,white,51%,White Shirt,2124,2521,Polyester
1128.jpg,gray,79%,Gray Shirt,2214,2738,Wool
1129.jpg,white,46%,White Shirt,2681,3381,Polyester
113.jpg,gray,60%,Gray Shirt,1844,2422,Wool
1130.jpg,gray,58%,Gray Shirt,1535,2263,Wool
1131.jpg,gray,53%,Gray Shirt,2027,2690,Wool
1132.jpg,white,57%,White Shirt,2480,2982,Cotton
1133.jpg,white,52%,White Shirt,1766,2413,Polyester
1134.jpg,gray,81%,Gray Shirt,1859,2238,Wool
1135.jpg,white,67%,White Shirt,2051,2808,Silk
1136.jpg,unknown,77%,Stylish Shirt,2638,3245,Denim
1137.jpg,white,41%,White Shirt,2679,3247,Cotton
1138.jpg,white,63%,White Shirt,2925,3632,Wool
1139.jpg,unknown,78%,Stylish Shirt,2198,2966,Wool
114.jpg,black,40%,Black Shirt,1805,2408,Wool
1140.jpg,white,88%,White Shirt,2399,2833,Silk
1141.jpg,black,83%,Black Shirt,2697,3170,Linen
1142.jpg,black,77%,Black Shirt,1609,2063,Linen
1143.jpg,black,62%,Black Shirt,2315,2762,Polyester
1144.jpg,white,65%,White Shirt,2385,2935,Denim
1145.jpg,unknown,79%,Stylish Shirt,2645,3169,Wool
1146.jpg,white,48%,White Shirt,2767,3323,Denim
1147.jpg,white,61%,White Shirt,2505,2882,Silk
1148.jpg,gray,79%,Gray Shirt,2826,3525,Linen
1149.jpg,black,79%,Black Shirt,1849,2467,Linen
115.jpg,white,67%,White Shirt,1545,2256,Denim
1150.jpg,white,78%,White Shirt,2667,3297,Wool
1151.jpg,black,66%,Black Shirt,2186,2959,Silk
1152.jpg,white,38%,White Shirt,2845,3427,Cotton
1153.jpg,gray,82%,Gray Shirt,1679,2103,Polyester
1154.jpg,black,79%,Black Shirt,2608,3167,Wool
1155.jpg,blue,81%,Blue Shirt,1796,2565,Cotton
1156.jpg,black,81%,Black Shirt,1591,1891,Linen
1157.jpg,blue,78%,Blue Shirt,2041,2583,Silk
1158.jpg,black,75%,Black Shirt,1864,2224,Polyester
1159.jpg,unknown,48%,Stylish Shirt,1560,1881,Wool
116.jpg,black,38%,Black Shirt,2938,3577,Polyester
1160.jpg,white,65%,White Shirt,1552,2039,Denim
1161.jpg,yellow,79%,Yellow Shirt,2232,2929,Linen
1162.jpg,black,79%,Black Shirt,2107,2845,Silk
1163.jpg,black,79%,Black Shirt,2791,3513,Silk
1164.jpg,white,38%,White Shirt,2324,2797,Denim
1165.jpg,gray,77%,Gray Shirt,2130,2482,Wool
1166.jpg,unknown,76%,Stylish Shirt,1857,2487,Cotton
1167.jpg,white,55%,White Shirt,2372,3142,Denim
1168.jpg,white,92%,White Shirt,1755,2071,Linen
1169.jpg,blue,81%,Blue Shirt,2944,3247,Silk
117.jpg,white,81%,White Shirt,2273,2944,Denim
1170.jpg,white,39%,White Shirt,2191,2907,Denim
1171.jpg,black,43%,Black Shirt,2512,3250,Denim
1172.jpg,unknown,77%,Stylish Shirt,2560,2889,Polyester
1173.jpg,black,74%,Black Shirt,2073,2648,Linen
1174.jpg,white,62%,White Shirt,2739,3256,Denim
1175.jpg,blue,51%,Blue Shirt,1991,2406,Silk
1176.jpg,gray,80%,Gray Shirt,1866,2519,Silk
1177.jpg,white,52%,White Shirt,2535,3289,Polyester
1178.jpg,blue,81%,Blue Shirt,1681,2024,Linen
1179.jpg,white,60%,White Shirt,1944,2566,Denim
118.jpg,gray,55%,Gray Shirt,2175,2557,Denim
1180.jpg,gray,83%,Gray Shirt,2845,3277,Denim
1181.jpg,white,56%,White Shirt,2830,3415,Linen
1182.jpg,gray,50%,Gray Shirt,2823,3124,Wool
1183.jpg,blue,81%,Blue Shirt,2418,3029,Cotton
1184.jpg,white,55%,White Shirt,2068,2541,Cotton
1185.jpg,unknown,78%,Stylish Shirt,2492,3077,Silk
1186.jpg,white,59%,White Shirt,1503,2037,Polyester
1187.jpg,unknown,43%,Stylish Shirt,1725,2130,Linen
1188.jpg,unknown,84%,Stylish Shirt,2858,3386,Wool
1189.jpg,black,72%,Black Shirt,2595,3297,Silk
119.jpg,gray,82%,Gray Shirt,2965,3598,Wool
1190.jpg,black,75%,Black Shirt,2443,2824,Silk
1191.jpg,gray,83%,Gray Shirt,2941,3262,Polyester
1192.jpg,black,83%,Black Shirt,2449,2830,Cotton
1193.jpg,black,78%,Black Shirt,1566,1983,Cotton
1194.jpg,gray,78%,Gray Shirt,1819,2236,Polyester
1195.jpg,blue,78%,Blue Shirt,1855,2633,Denim
1196.jpg,blue,79%,Blue Shirt,1680,2105,Silk
1197.jpg,black,78%,Black Shirt,1679,2220,Linen
1198.jpg,gray,53%,Gray Shirt,2053,2552,Silk
1199.jpg,white,81%,White Shirt,1652,2128,Wool
12.jpg,black,63%,Black Shirt,2564,2942,Polyester
120.jpg,unknown,81%,Stylish Shirt,2073,2475,Cotton
1200.jpg,white,46%,White Shirt,2089,2439,Denim
1201.jpg,black,79%,Black Shirt,2374,3026,Wool
1202.jpg,blue,75%,Blue Shirt,2762,3068,Denim
1203.jpg,gray,57%,Gray Shirt,2852,3226,Linen
1204.jpg,white,73%,White Shirt,2942,3397,Linen
1205.jpg,black,81%,Black Shirt,2281,2916,Silk
1206.jpg,black,78%,Black Shirt,1822,2505,Polyester
1207.jpg,white,60%,White Shirt,1899,2479,Wool
1208.jpg,white,42%,White Shirt,2835,3619,Polyester
1209.jpg,blue,77%,Blue Shirt,2153,2607,Cotton
121.jpg,black,59%,Black Shirt,1633,2265,Silk
1210.jpg,white,38%,White Shirt,1591,2230,Denim
1211.jpg,black,74%,Black Shirt,2869,3526,Wool
1212.jpg,unknown,57%,Stylish Shirt,2870,3206,Wool
1213.jpg,unknown,65%,Stylish Shirt,1975,2657,Polyester
1214.jpg,white,72%,White Shirt,2527,3121,Linen
1215.jpg,blue,79%,Blue Shirt,2212,2570,Denim
1216.jpg,white,62%,White Shirt,2348,3113,Wool
1217.jpg,yellow,77%,Yellow Shirt,1893,2333,Cotton
1218.jpg,gray,72%,Gray Shirt,2460,2875,Linen
1219.jpg,unknown,81%,Stylish Shirt,2698,3269,Wool
122.jpg,gray,41%,Gray Shirt,2255,2806,Cotton
1220.jpg,white,68%,White Shirt,3000,3365,Denim
1221.jpg,white,46%,White Shirt,2265,2594,Cotton
1222.jpg,unknown,76%,Stylish Shirt,2321,2946,Cotton
1223.jpg,white,64%,White Shirt,2216,2606,Denim
1224.jpg,gray,73%,Gray Shirt,1715,2043,Linen
1225.jpg,white,61%,White Shirt,2954,3736,Silk
1226.jpg,blue,80%,Blue Shirt,2348,2920,Linen
1227.jpg,red,79%,Red Shirt,2612,3328,Linen
1228.jpg,white,75%,White Shirt,1577,1894,Silk
